VIN,Year,Make,Model,Trim,Exterior Color,Interior Color,Odometer,MSRP,Stock Number,Fuel Economy
1FMJU2A84REA40487,2024,Ford,Expedition,Limited,Agate Black,Black Onyx,0,"$82,860",240353,16/22
1FDUF4GT8RDA18528,2024,Ford,F-450 Chassis,XL,Oxford White,Medium Dark Slate,0,"$88,012",240821UP,
1FDUF5GT9RDA02280,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$93,257",240149UP,
1FDUF5HT1RDA28323,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$93,971",241081UP,
1FMJK2AG6REA49463,2024,Ford,Expedition Max,Limited,Star White Metallic Tri-Coat,Black Onyx,0,"$94,810",240564,16/22
1FDUF5GT6RDA02219,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$98,930",240148UP,
1FDUF5GTXRDA02224,2024,Ford,F-550 Chassis,XL,Oxford White,Medium Dark Slate,0,"$98,930",240157UP,
3FTTW8A35SRB26618,2025,Ford,Maverick,XL,Oxford White,Black Onyx/Dark Slate,0,"$29,840",SRB26618,
3FTTW8A38SRB26578,2025,Ford,Maverick,XL,Velocity Blue,Black Onyx/Dark Slate,0,"$29,840",SRB26578,
3FTTW8A39SRB41865,2025,Ford,Maverick,XL,White,Black Onyx/Dark Slate,0,"$29,940",SRB41865,
3FTTW8A39SRB32700,2025,Ford,Maverick,XL,Velocity Blue,Black Onyx/Dark Slate,0,"$29,940",SRB32700,
3FTTW8A3XSRB25688,2025,Ford,Maverick,XL,Oxford White,Black Onyx/Dark Slate,0,"$29,940",SRB25688,
3FTTW8BA8SRB43894,2025,Ford,Maverick,XL,Desert Sand,Black Onyx/Dark Slate,0,"$30,065",SRB43894,
3FTTW8BA3SRB36903,2025,Ford,Maverick,XL,White,Black Onyx/Dark Slate,0,"$30,065",SRB36903,
3FTTW8BA2SRB58536,2025,Ford,Maverick,XL,Oxford White,Black Onyx,0,"$30,065",,
3FTTW8BAXSRB43895,2025,Ford,Maverick,XL,Oxford White,Black Onyx/Dark Slate,0,"$30,860",SRB43895,
3FTTW8H39SRB14249,2025,Ford,Maverick,XLT,Oxford White,Navy Pier/Aspen Gray,0,"$32,340",SRB14249,
3FTTW8H38SRB26635,2025,Ford,Maverick,XLT,Oxford White,Navy Pier/Aspen Gray,0,"$32,340",SRB26635,
3FTTW8H35SRA83436,2025,Ford,Maverick,XLT,Oxford White,Navy Pier/Aspen Gray,0,"$32,340",SRA83436,
