VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
1FMCU9NZ4SUB62010,SUB62010,"$37,075",,Ford,,ST-Line Select,,,,,,,,,
1FMCU0MZ0SUA55551,SUA55551,"$38,400",,Ford,,ST-Line,,,,,,,,,
3FMCR9C62RRE51592,240354,"$37,710",,Ford,,Outer Banks,,,,,,,,,
2FMPK4G92RBA83443,240256,"$41,520",,Ford,,SE,,,,,,,,,
2FMPK4G90RBA86986,240366,"$41,520",,Ford,,SE,,,,,,,,,
1FTER4HH2RLE26734,240883,"$47,020",,Ford,,XLT,,,,,,,,,
1FTBR1Y89RKB45960,241142,"$51,135",,Ford,,Base,,,,,,,,,
1FTBR1X80RKB35822,RKB35822,"$56,705",,Ford,,Base,,,,,,,,,
1FDWE3FN5RDD31092,240102UP,"$72,882",,Ford,,Base,,,,,,,,,
1FDRF3EN3REF19941,REF19941,"$68,150",,Ford,,XL,,,,,,,,,
1FDUF5GT5RDA02356,240144UP,"$69,156",,Ford,,XL,,,,,,,,,
1FDUF5GT7RDA02326,240161UP,"$69,165",,Ford,,XL,,,,,,,,,
1FDUF4GT6RDA03607,240279UP,"$78,629",,Ford,,XL,,,,,,,,,
1FDUF5GT9REC03607,240143UP,"$82,785",,Ford,,XL,,,,,,,,,
1FDUF5GT3RDA02355,240131UP,"$82,735",,Ford,,XL,,,,,,,,,
1FDBF6P86RKA21695,240710UP,"$90,162",,Ford,,Base,,,,,,,,,
1FDUF5HT2RDA10901,240650UP,"$85,271",,Ford,,XL,,,,,,,,,
1FDUF5HT3RDA28288,241180UP,"$85,940",,Ford,,XL,,,,,,,,,
1FMJU2A84REA40487,240353,"$82,860",,Ford,,Limited,,,,,,,,,
1FDUF4GT8RDA18528,240821UP,"$88,012",,Ford,,XL,,,,,,,,,
1FDUF5GT9RDA02280,240149UP,"$93,257",,Ford,,XL,,,,,,,,,
1FDUF5HT1RDA28323,241081UP,"$93,971",,Ford,,XL,,,,,,,,,
1FMJK2AG6REA49463,240564,"$94,810",,Ford,,Limited,,,,,,,,,
1FDUF5GT6RDA02219,240148UP,"$98,930",,Ford,,XL,,,,,,,,,
1FDUF5GTXRDA02224,240157UP,"$98,930",,Ford,,XL,,,,,,,,,
3FTTW8A35SRB26618,SRB26618,"$29,840",,Ford,,XL,,,,,,,,,
3FTTW8A38SRB26578,SRB26578,"$29,840",,Ford,,XL,,,,,,,,,
3FTTW8A39SRB32700,SRB32700,"$29,940",,Ford,,XL,,,,,,,,,
3FTTW8A3XSRB25688,SRB25688,"$29,940",,Ford,,XL,,,,,,,,,
3FTTW8BA8SRB43894,SRB43894,"$30,065",,Ford,,XL,,,,,,,,,
3FTTW8BA3SRB36903,SRB36903,"$30,065",,Ford,,XL,,,,,,,,,
3FTTW8BA2SRB58536,SRB58536,"$30,065",,Ford,,XL,,,,,,,,,
3FTTW8A34SRB46617,,"$29,840",,Ford,,XL,,,,,,,,,
3FTTW8BAXSRB43895,SRB43895,"$30,860",,Ford,,XL,,,,,,,,,
